,Date,Revenue,Orders,AOV,Product_id
0,2023-05-01,0.0,42,0.0,
1,2023-05-01,0.0,0,,1
2,2023-05-01,0.0,0,,2
3,2023-05-01,64.554,6,10.759,9
4,2023-05-01,1109.654,39,28.452666666666666,10
5,2023-05-01,3197.054,102,31.343666666666667,11
6,2023-05-01,172.26999999999998,11,15.660909090909088,12
7,2023-05-01,2811.6339999999996,119,23.627176470588232,13
8,2023-05-01,526.414,32,16.4504375,4
9,2023-05-01,1348.662,64,21.07284375,6
10,2023-05-01,150.892,1,150.892,7
11,2023-05-01,800.744,35,22.8784,8
12,2023-05-01,75.85199999999999,11,6.8956363636363625,14
13,2023-05-01,157.472,116,1.3575172413793104,16
14,2023-05-01,1645.224,111,14.821837837837837,18
15,2023-05-02,0.0,43,0.0,
16,2023-05-02,36.553999999999995,1,36.553999999999995,1
17,2023-05-02,446.39,1,446.39,2
18,2023-05-02,47.166,4,11.7915,9
19,2023-05-02,883.7919999999999,32,27.618499999999997,10
20,2023-05-02,1935.4859999999999,64,30.241968749999998,11
21,2023-05-02,121.25399999999999,18,6.736333333333333,12
22,2023-05-02,2077.544,87,23.879816091954023,13
23,2023-05-02,459.00399999999996,31,14.806580645161288,4
24,2023-05-02,1294.734,73,17.73608219178082,6
25,2023-05-02,120.70799999999998,1,120.70799999999998,7
26,2023-05-02,720.7339999999999,35,20.592399999999998,8
27,2023-05-02,142.58999999999997,22,6.4813636363636355,14
28,2023-05-02,141.666,77,1.8398181818181818,16
29,2023-05-02,1579.858,106,14.90432075471698,18
30,2023-05-03,0.0,28,0.0,
31,2023-05-03,0.0,0,,1
32,2023-05-03,741.8879999999999,3,247.29599999999996,2
33,2023-05-03,47.41799999999999,4,11.854499999999998,9
34,2023-05-03,1548.932,55,28.1624,10
35,2023-05-03,2480.198,81,30.619728395061728,11
36,2023-05-03,241.45799999999997,15,16.097199999999997,12
37,2023-05-03,2160.256,90,24.00284444444444,13
38,2023-05-03,574.126,35,16.4036,4
39,2023-05-03,949.732,60,15.828866666666666,6
40,2023-05-03,1784.7199999999998,11,162.2472727272727,7
41,2023-05-03,845.1379999999999,36,23.476055555555554,8
42,2023-05-03,134.28799999999998,21,6.394666666666666,14
43,2023-05-03,269.03799999999995,105,2.562266666666666,16
44,2023-05-03,2070.866,139,14.89831654676259,18
45,2023-05-04,0.0,35,0.0,
46,2023-05-04,158.42399999999998,4,39.605999999999995,1
47,2023-05-04,2616.11,3,872.0366666666667,2
48,2023-05-04,63.559999999999995,6,10.593333333333332,9
49,2023-05-04,1066.5339999999999,38,28.06668421052631,10
50,2023-05-04,2447.0179999999996,78,31.372025641025637,11
51,2023-05-04,194.79599999999996,17,11.458588235294116,12
52,2023-05-04,2800.4339999999997,118,23.732491525423725,13
